"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Matched Audience Targeting Consumption (Photo Click)","Other Clicks","Link Clicks","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions"
122184494114383179,61561495390240,"JUANKada Host Ikay","A year older today! 🎉

Thankful for all the blessings, the lessons, and every little moment that made me stronger.

Super grateful din sa inyo, Kikays — salamat sa love, support, at kulitan everyday! 🥰

To more smiles, wins, and good vibes ahead. Manifesting happier days and new beginnings! ✨

Comment “🎂” to wish me a happy birthday!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay","A year older today! 🎉

Thankful for all the blessings, the lessons, and every little moment that made me stronger.

Super grateful din sa inyo, Kikays — salamat sa love, support, at kulitan everyday! 🥰

To more smiles, wins, and good vibes ahead. Manifesting happier days and new beginnings! ✨

Comment “🎂” to wish me a happy birthday!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",18,"12/31/2025 23:22",N/A,https://www.facebook.com/reel/1549172982956367/,0,0,Videos,,,,,Lifetime,1455,369,72,68,3,1,24,,24,,14187.041,14.965,0,0,0
122184689018383179,61561495390240,"JUANKada Host Ikay","LIVE na ako, Kikays! 🌸

Watch me NOW para good vibes from afternoon hanggang gabi niyo ✨

Hihintayin ko kayo sa live ha! 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,"01/02/2026 23:44",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02rzZmsSmMtRywGuGZGUPVKdwjVauGAQ49JVhaPv6TFkU56zt8H6csR5riMKzp15GZl,0,0,Photos,,,,,Lifetime,527,184,16,14,1,1,38,12,26,,,,,,
122184669344383179,61561495390240,"JUANKada Host Ikay","JUANKada Host Ikay updated their cover photo.",,0,"01/02/2026 18:39",N/A,https://www.facebook.com/photo.php?fbid=122184669344383179&set=a.122140909430383179&type=3,0,0,Photos,,,,,Lifetime,0,0,7,7,0,0,0,,,,,,,,
122184577460383179,61561495390240,"JUANKada Host Ikay","Don't leave me dancin' alone 🎶🫶

Good thing sinamahan ako ni Juankada Lance sa trend na ‘to! 

Kanino mas bagay yung trend na 'to? Comment na, Kikays! 🌸

#Juan365Studios
#ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay","Don't leave me dancin' alone 🎶🫶

Good thing sinamahan ako ni @[61584243275518:2048:Juankada Lance] sa trend na ‘to! 

Kanino mas bagay yung trend na 'to? Comment na, Kikays! 🌸

#Juan365Studios
#ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",15,"01/01/2026 20:14",N/A,https://www.facebook.com/reel/856971900558109/,0,0,Videos,,,,,Lifetime,1849,730,41,39,0,2,36,,36,,13266.612,9.974,0,0,0
122104920183185509,61585565286734,"JuanKada Star","Pink mood, pretty vibe, confident heart 🌸

Sabay-sabay tayong mag-glow, Star Babies! ⭐️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",,0,"01/02/2026 23:36",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02SEnE8yGLcKcC9vsXQvxVmwSJq7wUngtEGKV1PjPBquAwEFWxxvAJbHdwwL9zrZz5l,0,0,Photos,,,,,Lifetime,125,39,19,14,4,1,26,14,10,,,,,,
122104886637185509,61585565286734,"JuanKada Star",⭐️,"Serving looks, serving energy, and maybe stealing your attention too! 🥰

Strong, fearless, unstoppable — that’s how we do it, Star Babies! Own your power every single day ⭐️🩷

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",14,"01/02/2026 20:07",N/A,https://www.facebook.com/reel/1574867356880699/,0,0,Videos,,,,,Lifetime,132,33,12,10,0,2,2,,2,,488.149,5.084,0,0,0
122104867689185509,61585565286734,"JuanKada Star","JuanKada Star updated their cover photo.",,0,"01/02/2026 18:38",N/A,https://www.facebook.com/photo.php?fbid=122104867689185509&set=a.122101646277185509&type=3,0,0,Photos,,,,,Lifetime,430,198,17,15,1,1,1,,1,,,,,,
122104826343185509,61585565286734,"JuanKada Star","Star Babies! Abangan niyo ako sa Color Game from 6AM–2PM! ⭐️✨ 

Marami pang shining moments ang mangyayari kaya stay tuned! 😎

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",,0,"01/02/2026 14:17",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0e4Be68t4VPSUXtwg3RnLh2EFcsAcbHLUi1t7LgiXQSqxsMBG6kt6c92FSeD4xw7Ll,0,0,Photos,,,,,Lifetime,307,131,13,11,0,2,13,10,3,,,,,,
122104633419185509,61585565286734,"JuanKada Star","Salamat sa lahat ng sumama sa amin nina Juankada Alexchoozy, at Juankada Papa Joe sa live kanina! 😎

Nag-enjoy ba kayo, Star Babies? 🌟 Abangan niyo lang kami palagi sa Color Game para sa mas maraming fun, tawa, at syempre surpresa pa rin sa inyo!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",,0,"01/02/2026 02:11",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0vQg3kJkhNyWgxRueHtmV59FAvVUV6Dm86g94jjtzBs6exE77qz1bQQcyUekXPdEcl,0,0,Photos,,,,,Lifetime,247,101,17,14,2,1,30,11,19,,,,,,
122104516509185509,61585565286734,"JuanKada Star","Star Babies, nasaan na kayo? 👀🔥

Tara na! Live na live ako now sa Color Game!

See you there! 😍

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",,0,"01/01/2026 16:52",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0wtQMpAagK3zpkd23yBEC28UKNY2Fgq8wzfipg8Xg19zsJHKdvzo1z32Pfwcme3X2l,0,0,Photos,,,,,Lifetime,1022,417,36,33,0,3,102,53,49,,,,,,
